# YSES-1b SINFONI emission data from Zhang et al. (2021), Nat, 595.

# The @DEPTH_UNITS defines the spectrum and uncert units
# (none, percent, ppt, ppm, f_lambda), with f_lambda => W m⁻² μm⁻¹
@DEPTH_UNITS
f_lambda

# The @DATA flag sets the data
# flux            flux_err         wavelength  half_width    instrument
@DATA
 7.77569556e-16   1.96023604e-17     2.095195    0.000000    sinfoni
 7.82911132e-16   1.96801776e-17     2.095445    0.000000    sinfoni
 7.68272380e-16   1.97337089e-17     2.095695    0.000000    sinfoni
 7.64477160e-16   1.96720821e-17     2.095945    0.000000    sinfoni
 7.61088479e-16   1.93694189e-17     2.096195    0.000000    sinfoni
 7.49122394e-16   1.93808870e-17     2.096445    0.000000    sinfoni
 7.59441503e-16   1.95907543e-17     2.096696    0.000000    sinfoni
 7.67546877e-16   1.96935316e-17     2.096946    0.000000    sinfoni
 7.72579087e-16   1.96651453e-17     2.097196    0.000000    sinfoni
 7.82191323e-16   1.97251342e-17     2.097446    0.000000    sinfoni
 7.95732150e-16   1.97840309e-17     2.097696    0.000000    sinfoni
 7.94504440e-16   1.93055780e-17     2.097946    0.000000    sinfoni
 8.10912523e-16   2.00074234e-17     2.098196    0.000000    sinfoni
 8.08802628e-16   2.03804699e-17     2.098446    0.000000    sinfoni
 8.03075888e-16   2.07521588e-17     2.098696    0.000000    sinfoni
 8.05867428e-16   2.00856713e-17     2.098946    0.000000    sinfoni
 7.79693003e-16   1.98088937e-17     2.099196    0.000000    sinfoni
 7.79458611e-16   1.98310593e-17     2.099446    0.000000    sinfoni
 8.00663295e-16   1.98595388e-17     2.099697    0.000000    sinfoni
 7.74968254e-16   1.97821535e-17     2.099947    0.000000    sinfoni
 7.94200837e-16   1.96758801e-17     2.100197    0.000000    sinfoni
 8.06794437e-16   1.97615157e-17     2.100447    0.000000    sinfoni
 7.93729110e-16   1.98844490e-17     2.100697    0.000000    sinfoni
 8.40851346e-16   1.98511982e-17     2.100947    0.000000    sinfoni
 8.51918366e-16   2.01333314e-17     2.101197    0.000000    sinfoni
 8.15127586e-16   2.07768733e-17     2.101447    0.000000    sinfoni
 8.00532405e-16   2.06430425e-17     2.101697    0.000000    sinfoni
 7.73976844e-16   1.98062692e-17     2.101947    0.000000    sinfoni
 7.63993403e-16   1.97198799e-17     2.102198    0.000000    sinfoni
 8.10341998e-16   1.97081670e-17     2.102448    0.000000    sinfoni
 8.06178840e-16   1.97825290e-17     2.102698    0.000000    sinfoni
 8.12197606e-16   1.99061503e-17     2.102948    0.000000    sinfoni
 7.99673300e-16   1.99839413e-17     2.103198    0.000000    sinfoni
 8.11629052e-16   1.96290203e-17     2.103448    0.000000    sinfoni
 8.11763531e-16   1.97132254e-17     2.103699    0.000000    sinfoni
 8.07189239e-16   1.97037720e-17     2.103949    0.000000    sinfoni
 8.13855625e-16   1.97108020e-17     2.104199    0.000000    sinfoni
 8.01928954e-16   1.95904073e-17     2.104449    0.000000    sinfoni
 7.97966872e-16   1.96513220e-17     2.104699    0.000000    sinfoni
 8.04233520e-16   1.96387939e-17     2.104949    0.000000    sinfoni
 7.79939002e-16   1.93035247e-17     2.105199    0.000000    sinfoni
 7.72509946e-16   1.88569486e-17     2.105450    0.000000    sinfoni
 8.38045124e-16   2.01435525e-17     2.105700    0.000000    sinfoni
 8.67940157e-16   2.03822391e-17     2.105950    0.000000    sinfoni
 8.41069063e-16   2.01108918e-17     2.106200    0.000000    sinfoni
 8.49467541e-16   2.03156350e-17     2.106450    0.000000    sinfoni
 8.84690837e-16   2.07571043e-17     2.106700    0.000000    sinfoni
 8.53489712e-16   2.02770542e-17     2.106951    0.000000    sinfoni
 8.06457929e-16   1.99407329e-17     2.107201    0.000000    sinfoni
 7.94965521e-16   1.96720694e-17     2.107451    0.000000    sinfoni
 8.10079232e-16   1.95672017e-17     2.107701    0.000000    sinfoni
 8.12908804e-16   1.97940694e-17     2.107951    0.000000    sinfoni
 7.84588233e-16   1.97316345e-17     2.108201    0.000000    sinfoni
 7.58610082e-16   1.96467215e-17     2.108452    0.000000    sinfoni
 7.36672270e-16   1.97418300e-17     2.108702    0.000000    sinfoni
 7.75923413e-16   1.97323344e-17     2.108952    0.000000    sinfoni
 7.83942995e-16   1.95813375e-17     2.109202    0.000000    sinfoni
 8.07567166e-16   1.99713747e-17     2.109453    0.000000    sinfoni
 8.14083752e-16   1.99686940e-17     2.109703    0.000000    sinfoni
 7.84439472e-16   2.00788046e-17     2.109953    0.000000    sinfoni
 8.24617733e-16   2.02502607e-17     2.110203    0.000000    sinfoni
 8.33875168e-16   2.04264559e-17     2.110453    0.000000    sinfoni
 8.44900504e-16   2.04014243e-17     2.110704    0.000000    sinfoni
 8.60595074e-16   2.02904297e-17     2.110954    0.000000    sinfoni
 8.28726869e-16   2.05937569e-17     2.111204    0.000000    sinfoni
