# Comment lines (like this one) and blank lines are ignored,
# central-wavelength and half-width units are always microns

# @DEPTH_UNITS sets the depth and uncert units (e.g., none, percent, ppt, ppm)
@DEPTH_UNITS
ppm

# depth  depth_err    wl      half_width    instrument
@DATA
20667.1    274.2      0.52132    0.00425    nirspec_prism
20940.2    201.4      0.53004    0.00446    nirspec_prism
21186.6    160.5      0.53919    0.00469    nirspec_prism
21296.6    140.8      0.54883    0.00494    nirspec_prism
21068.6    127.9      0.55899    0.00522    nirspec_prism
21401.9    120.0      0.56972    0.00551    nirspec_prism
21323.3    115.7      0.58106    0.00583    nirspec_prism
21600.7    110.7      0.59308    0.00619    nirspec_prism
21188.3    109.9      0.60584    0.00657    nirspec_prism
21165.7    108.5      0.61940    0.00700    nirspec_prism
20782.0    102.8      2.16754    0.02619    nirspec_prism
20678.7    103.0      2.21948    0.02575    nirspec_prism
20763.7    103.2      2.27053    0.02531    nirspec_prism
20882.1    103.9      2.32074    0.02489    nirspec_prism
21146.4    104.1      2.37011    0.02448    nirspec_prism
21085.5    104.4      2.41868    0.02408    nirspec_prism
21295.9    105.1      2.46646    0.02370    nirspec_prism
21384.6    105.3      2.51348    0.02332    nirspec_prism
21548.8    105.8      2.55977    0.02296    nirspec_prism
21586.7    106.4      2.60535    0.02261    nirspec_prism
21727.7    106.5      2.65024    0.02228    nirspec_prism
21886.0    107.1      2.69447    0.02195    nirspec_prism
21781.4    108.2      2.73806    0.02164    nirspec_prism
21739.2    109.1      2.78103    0.02133    nirspec_prism
21985.5    110.2      2.82341    0.02104    nirspec_prism
21814.2    109.8      2.86520    0.02076    nirspec_prism
21739.9    110.7      2.90644    0.02048    nirspec_prism
21544.3    111.8      2.94714    0.02022    nirspec_prism
21593.2    112.0      2.98732    0.01996    nirspec_prism
21582.6    113.4      3.02699    0.01971    nirspec_prism
21418.1    113.2      3.06617    0.01947    nirspec_prism
21332.9    113.6      3.10488    0.01924    nirspec_prism
21357.2    115.5      3.14313    0.01901    nirspec_prism
21276.1    115.3      3.18093    0.01879    nirspec_prism
21304.9    114.9      3.21830    0.01858    nirspec_prism
21037.3    116.2      3.25525    0.01837    nirspec_prism
21048.0    117.3      3.29179    0.01817    nirspec_prism
21141.1    117.6      3.32794    0.01798    nirspec_prism
21217.7    119.2      3.36370    0.01779    nirspec_prism
21146.9    120.3      3.39910    0.01760    nirspec_prism
21107.9    120.9      3.43412    0.01742    nirspec_prism
21127.9    121.3      3.46880    0.01725    nirspec_prism
21073.3    123.0      3.50312    0.01708    nirspec_prism
21062.6    123.2      3.53712    0.01691    nirspec_prism
21140.3    124.5      3.57079    0.01675    nirspec_prism
21101.9    125.9      3.60414    0.01660    nirspec_prism
21064.2    125.8      3.63718    0.01644    nirspec_prism
21085.2    126.8      3.66991    0.01629    nirspec_prism
20801.9    128.3      3.70236    0.01615    nirspec_prism
21067.3    129.4      3.73451    0.01601    nirspec_prism
20925.4    129.0      3.76638    0.01587    nirspec_prism
20972.1    131.0      3.79798    0.01573    nirspec_prism
20942.9    133.8      3.82931    0.01560    nirspec_prism
20889.5    134.0      3.86038    0.01547    nirspec_prism
20763.0    134.7      3.89119    0.01534    nirspec_prism
20924.4    137.9      3.92175    0.01522    nirspec_prism
20824.6    139.9      3.95207    0.01510    nirspec_prism
21103.9    139.2      3.98214    0.01498    nirspec_prism
21165.3    140.3      4.01199    0.01486    nirspec_prism
21218.4    140.9      4.04160    0.01475    nirspec_prism
21097.2    142.6      4.07098    0.01464    nirspec_prism
20733.9    145.4      4.10015    0.01453    nirspec_prism
20955.5    146.3      4.12910    0.01442    nirspec_prism
21173.5    144.6      4.15784    0.01432    nirspec_prism
21139.9    149.1      4.18637    0.01421    nirspec_prism
21687.0    150.2      4.21469    0.01411    nirspec_prism
21786.0    148.9      4.24282    0.01401    nirspec_prism
22375.3    151.0      4.27075    0.01392    nirspec_prism
22276.0    153.6      4.29849    0.01382    nirspec_prism
22321.2    154.2      4.32604    0.01373    nirspec_prism
22565.8    157.5      4.35340    0.01364    nirspec_prism
22371.4    160.8      4.38059    0.01355    nirspec_prism
22472.4    161.2      4.40759    0.01346    nirspec_prism
22229.7    160.0      4.43442    0.01337    nirspec_prism
21775.0    163.5      4.46107    0.01329    nirspec_prism
22120.0    165.8      4.48756    0.01320    nirspec_prism
21515.4    168.2      4.51388    0.01312    nirspec_prism
21658.1    170.9      4.54004    0.01304    nirspec_prism
21480.6    171.6      4.56603    0.01296    nirspec_prism
21493.4    178.4      4.59187    0.01288    nirspec_prism
21386.4    174.9      4.61755    0.01280    nirspec_prism
21415.1    177.9      4.64307    0.01273    nirspec_prism
21232.7    178.1      4.66845    0.01265    nirspec_prism
21340.8    181.1      4.69367    0.01258    nirspec_prism
21496.3    184.2      4.71876    0.01250    nirspec_prism
21290.0    183.6      4.74369    0.01243    nirspec_prism
21561.9    184.0      4.76849    0.01236    nirspec_prism
21352.3    185.2      4.79314    0.01229    nirspec_prism
21321.5    190.4      4.81766    0.01222    nirspec_prism
21429.3    197.3      4.84204    0.01216    nirspec_prism
21408.8    197.2      4.86629    0.01209    nirspec_prism
21186.5    194.1      4.89041    0.01203    nirspec_prism
21026.4    196.9      4.91440    0.01196    nirspec_prism
21525.5    201.1      4.93826    0.01190    nirspec_prism
21681.5    201.2      4.96199    0.01184    nirspec_prism
20890.9    202.2      4.98560    0.01177    nirspec_prism
21037.0    204.2      5.00909    0.01171    nirspec_prism
20933.1    208.2      5.03245    0.01165    nirspec_prism
21233.3    207.3      5.05570    0.01159    nirspec_prism
21359.2    215.5      5.07883    0.01154    nirspec_prism
20802.7    225.6      5.10184    0.01148    nirspec_prism
21378.0    217.0      5.12474    0.01142    nirspec_prism
21330.1    222.9      5.14753    0.01136    nirspec_prism
21084.7    227.1      5.17020    0.01131    nirspec_prism
20987.9    224.7      5.19277    0.01125    nirspec_prism
21348.2    225.9      5.21522    0.01120    nirspec_prism
21347.9    230.1      5.23757    0.01115    nirspec_prism
21101.2    233.2      5.25981    0.01109    nirspec_prism
21232.5    231.8      5.28195    0.01104    nirspec_prism
20965.7    238.3      5.30399    0.01099    nirspec_prism
21313.7    249.1      5.32592    0.01094    nirspec_prism
21501.3    343.0      5.34412    0.00727    nirspec_prism

