# Simulated JWST transit observation of WASP-107b like planet
# with NIRISS/SOSS

@DEPTH_UNITS
percent

#     depth    depth_err   wavelength  half_width    instrument
@DATA
    2.07687      0.01495     0.833679    0.002779    soss_order1
    2.06726      0.01398     0.839255    0.002798    soss_order1
    2.07929      0.01343     0.844869    0.002816    soss_order1
    2.05858      0.01311     0.850520    0.002835    soss_order1
    2.09101      0.01273     0.856210    0.002854    soss_order1
    2.05901      0.01231     0.861937    0.002873    soss_order1
    2.05605      0.01358     0.867702    0.002892    soss_order1
    2.06690      0.01184     0.873506    0.002912    soss_order1
    2.08097      0.01170     0.879349    0.002931    soss_order1
    2.06287      0.01052     0.885231    0.002951    soss_order1
    2.06862      0.01104     0.891152    0.002971    soss_order1
    2.08451      0.01093     0.897113    0.002990    soss_order1
    2.08064      0.01074     0.903114    0.003010    soss_order1
    2.05721      0.01055     0.909155    0.003031    soss_order1
    2.07656      0.00958     0.915236    0.003051    soss_order1
    2.06143      0.01023     0.921358    0.003071    soss_order1
    2.06404      0.01014     0.927521    0.003092    soss_order1
    2.07331      0.00920     0.933725    0.003112    soss_order1
    2.08238      0.00983     0.939971    0.003133    soss_order1
    2.05363      0.00897     0.946258    0.003154    soss_order1
    2.07550      0.00954     0.952588    0.003175    soss_order1
    2.06716      0.00877     0.958960    0.003197    soss_order1
    2.07803      0.00945     0.965374    0.003218    soss_order1
    2.05740      0.00866     0.971831    0.003239    soss_order1
    2.08203      0.00851     0.978332    0.003261    soss_order1
    2.06437      0.00833     0.984876    0.003283    soss_order1
    2.04997      0.00896     0.991464    0.003305    soss_order1
    2.05954      0.00823     0.998096    0.003327    soss_order1
    2.03693      0.00814     1.004772    0.003349    soss_order1
    2.04958      0.00806     1.011493    0.003372    soss_order1
    2.05058      0.00799     1.018259    0.003394    soss_order1
    2.04578      0.00791     1.025070    0.003417    soss_order1
    2.03568      0.00788     1.031926    0.003440    soss_order1
    2.03461      0.00782     1.038829    0.003463    soss_order1
    2.04895      0.00722     1.045777    0.003486    soss_order1
    2.04752      0.00764     1.052773    0.003509    soss_order1
    2.04046      0.00763     1.059815    0.003533    soss_order1
    2.03194      0.00755     1.066904    0.003556    soss_order1
    2.05172      0.00703     1.074040    0.003580    soss_order1
    2.04722      0.00754     1.081224    0.003604    soss_order1
    2.03340      0.00694     1.088457    0.003628    soss_order1
