Al2            Al2_g
Al2O2_ion_p    Al2O2_ion_p_g
Al2O3_cr       Al2O3_cr_Alpha
Al2O3          Al2O3_l
Al2O           Al2O_g
Al2O_ion_p     Al2O_ion_p_g
Al2S3          Al2S3_cr
Al2SiO5_cr     Al2SiO5_cr_Andalusite
Al4C3          Al4C3_cr
Al6Si2O13      Al6Si2O13_cr
AlBO2          AlBO2_g
(AlBr3)2       (AlBr3)2_g
AlBr3          AlBr3_g
AlBr           AlBr_g
AlC            AlC_g
AlCl2F         AlCl2F_g
AlCl2          AlCl2_g
AlCl2_ion_n    AlCl2_ion_n_g
AlCl2_ion_p    AlCl2_ion_p_g
(AlCl3)2       (AlCl3)2_g
AlCl3          AlCl3_g
AlClF2         AlClF2_g
AlClF          AlClF_g
AlClF_ion_p    AlClF_ion_p_g
AlCl           AlCl_g
AlCl_ion_p     AlCl_ion_p_g
Al             Al_g
AlF2           AlF2_g
AlF2_ion_n     AlF2_ion_n_g
AlF2_ion_p     AlF2_ion_p_g
(AlF3)2        (AlF3)2_g
AlF3           AlF3_g
AlF4_ion_n     AlF4_ion_n_g
AlF            AlF_g
AlF_ion_p      AlF_ion_p_g
AlH            AlH_g
(AlI3)2        (AlI3)2_g
AlI3           AlI3_g
AlI            AlI_g
Al_ion_n       Al_ion_n_g
Al_ion_p       Al_ion_p_g
AlN            AlN_g
AlO2           AlO2_g
(AlO)2         (AlO)2_g
AlO2_ion_n     AlO2_ion_n_g
AlO            AlO_g
AlOH           AlOH_g
AlOH_ion_n     AlOH_ion_n_g
AlOH_ion_p     AlOH_ion_p_g
AlO_ion_n      AlO_ion_n_g
AlO_ion_p      AlO_ion_p_g
AlS            AlS_g
Ar_ion_p       Ar_ion_p_g
Ar             Ar_ref
B10H14         B10H14_g
B2             B2_g
B2H6           B2H6_g
B2O3           B2O3_g
B2O            B2O_g
B3H2O3F        B3H2O3F_g
B3H3O3         B3H3O3_g
B3H6N3         B3H6N3_g
B3HO3F2        B3HO3F2_g
B3O3Cl3        B3O3Cl3_g
B3O3F3         B3O3F3_g
B4C            B4C_l
B5H9           B5H9_g
BaBr2          BaBr2_g
BaBr           BaBr_g
BaCl2          BaCl2_g
BaCl           BaCl_g
Ba             Ba_g
BaF2           BaF2_g
BaF            BaF_g
BaF_ion_p      BaF_ion_p_g
BaI2           BaI2_g
BaI            BaI_g
Ba_ion_p       Ba_ion_p_g
BaO            BaO_g
Ba(OH)2        Ba(OH)2_g
BaOH           BaOH_g
BaOH_ion_p     BaOH_ion_p_g
BaS            BaS_g
BBr2Cl         BBr2Cl_g
BBr2F          BBr2F_g
BBr2           BBr2_g
BBr3           BBr3_g
BBrCl2         BBrCl2_g
BBrCl          BBrCl_g
BBrF2          BBrF2_g
BBrF           BBrF_g
BBr            BBr_g
BC             BC_g
(BCl2)2        (BCl2)2_g
BCl2F          BCl2F_g
BCl2           BCl2_g
BCl2_ion_n     BCl2_ion_n_g
BCl2_ion_p     BCl2_ion_p_g
BCl3           BCl3_g
BClF2          BClF2_g
BClF           BClF_g
BCl            BCl_g
BCl_ion_p      BCl_ion_p_g
B              B_g
Be2C           Be2C_l
Be2            Be2_g
Be2O           Be2O_g
Be2SiO4        Be2SiO4_cr
Be3B2O6        Be3B2O6_cr
Be3N2          Be3N2_l
BeAl2O4        BeAl2O4_l
BeAl6O10       BeAl6O10_l
Be(BO2)2       Be(BO2)2_g
BeBO2          BeBO2_g
BeBr2          BeBr2_g
BeBr           BeBr_g
BeC2           BeC2_g
(BeCl2)2       (BeCl2)2_g
BeCl2_cr       BeCl2_cr_Alpha
BeCl2          BeCl2_g
BeClF          BeClF_g
BeCl           BeCl_g
BeCl_ion_p     BeCl_ion_p_g
Be             Be_g
BeF2           BeF2_g
BeF            BeF_g
BeH2           BeH2_g
BeH            BeH_g
BeH_ion_p      BeH_ion_p_g
