# first column is wavelength in microns
# second column is (dimensionless) response
#    (product of lens throughput and CCD QE)
# see Science Memo No. 1, "Expected photon fluxes in the TESS bandpass"

# Wavelength  response_function
# um          electrons/photon
  0.57000     0.00000
  0.58000     0.05328
  0.59000     0.38511
  0.60000     0.66240
  0.61000     0.75772
  0.62000     0.79039
  0.63000     0.79938
  0.64000     0.81653
  0.65000     0.82471
  0.66000     0.83288
  0.67000     0.84106
  0.68000     0.84832
  0.69000     0.85468
  0.70000     0.86195
  0.71000     0.86740
  0.72000     0.87285
  0.73000     0.87830
  0.74000     0.88284
  0.75000     0.88738
  0.76000     0.89101
  0.77000     0.89463
  0.78000     0.89733
  0.79000     0.90001
  0.80000     0.90171
  0.81000     0.90328
  0.82000     0.90461
  0.83000     0.90462
  0.84000     0.90393
  0.85000     0.90215
  0.86000     0.89783
  0.87000     0.89120
  0.88000     0.88143
  0.89000     0.86672
  0.90000     0.84702
  0.91000     0.82143
  0.92000     0.78923
  0.93000     0.74919
  0.94000     0.70206
  0.95000     0.64883
  0.96000     0.58896
  0.97000     0.52440
  0.98000     0.45684
  0.99000     0.38783
  1.00000     0.32037
  1.01000     0.25618
  1.02000     0.19734
  1.03000     0.14568
  1.04000     0.10272
  1.05000     0.06334
  1.06000     0.03806
  1.07000     0.02062
  1.08000     0.00000
